iter	Logloss
0	0.4913285506
1	0.3847008658
2	0.3217810972
3	0.2824226583
4	0.2571780898
5	0.2371662731
6	0.2259825085
7	0.2173033009
8	0.2098039697
9	0.204886593
10	0.2009984968
11	0.1963995534
12	0.1931142047
13	0.1892955491
14	0.1870772357
15	0.1849491348
16	0.1831677897
17	0.1816069674
18	0.1800388401
19	0.1784996429
20	0.1771927645
21	0.1761107223
22	0.1749355514
23	0.1740456286
24	0.17340922
25	0.1718045268
26	0.1709004029
27	0.1702109805
28	0.1692387408
29	0.1686361227
30	0.1679347692
31	0.1675326766
32	0.1671364901
33	0.1663779788
34	0.1659880084
35	0.1655900079
36	0.1651961871
37	0.164766477
38	0.1640748018
39	0.1636675657
40	0.1633042447
41	0.162960711
42	0.1627028034
43	0.1621471985
44	0.1615592653
45	0.161064594
46	0.1608365131
47	0.1603586877
48	0.1598948762
49	0.159551528
50	0.1592127927
51	0.1588818208
52	0.1586331007
53	0.1582111645
54	0.1578201135
55	0.1576393656
56	0.1573715841
57	0.1569617019
58	0.1567875699
59	0.1565369767
60	0.156180532
61	0.1559156237
62	0.1555137667
63	0.1553137305
64	0.155087459
65	0.1547162021
66	0.1543722551
67	0.1540917033
68	0.153889204
69	0.1535268332
70	0.1532661702
71	0.1531026061
72	0.1527722832
73	0.1525034682
74	0.1522354933
75	0.1520330481
76	0.1517836213
77	0.1514525913
78	0.1511249811
79	0.1508802866
80	0.1508302716
81	0.1506605706
82	0.1503070279
83	0.149972609
84	0.1498528163
85	0.1497351395
86	0.1495039205
87	0.1492395379
88	0.1489823657
89	0.1486365694
90	0.1484425436
91	0.1481901299
92	0.1479501919
93	0.1477702979
94	0.1474651314
95	0.1473449165
96	0.1472169338
97	0.1470687201
98	0.1468933293
99	0.1467393027
