iter	Passed	Remaining
0	10	1039
1	24	1216
2	38	1254
3	52	1261
4	68	1298
5	81	1279
6	96	1277
7	111	1286
8	124	1262
9	139	1251
10	153	1241
11	167	1231
12	181	1214
13	195	1200
14	208	1182
15	222	1166
16	235	1149
17	249	1136
18	264	1129
19	278	1114
20	292	1099
21	305	1084
22	320	1071
23	334	1060
24	348	1045
25	361	1029
26	375	1015
27	388	998
28	402	985
29	416	970
30	429	955
31	442	940
32	456	926
33	470	912
34	483	898
35	497	883
36	511	870
37	525	856
38	538	842
39	552	828
40	565	813
41	578	798
42	591	783
43	604	769
44	618	755
45	631	741
46	645	727
47	658	713
48	671	698
49	684	684
50	697	670
51	711	656
52	723	641
53	737	628
54	750	614
55	762	599
56	775	585
57	788	571
58	801	557
59	814	543
60	827	529
61	840	515
62	853	501
63	866	487
64	879	473
65	892	459
66	905	446
67	919	432
68	932	418
69	945	405
70	958	391
71	971	377
72	984	364
73	997	350
74	1011	337
75	1024	323
76	1037	310
77	1052	296
78	1065	283
79	1078	269
80	1090	255
81	1103	242
82	1116	228
83	1130	215
84	1143	201
85	1156	188
86	1169	174
87	1182	161
88	1195	147
89	1208	134
90	1221	120
91	1234	107
92	1247	93
93	1259	80
94	1273	67
95	1285	53
96	1298	40
97	1312	26
98	1326	13
99	1339	0
